first_pokemon;second_pokemon;winner
Fraxure;Mega Steelix;Fraxure
Charizard;Slurpuff;Charizard
Croconaw;Mantyke;Croconaw
Mega Latios;Wormadam Sandy Cloak;Mega Latios
Mega Aerodactyl;Chespin;Mega Aerodactyl
Litwick;Graveler;Graveler
Sunkern;Diancie;Diancie
Aegislash Blade Forme;Golduck;Golduck
Dugtrio;Avalugg;Avalugg
Pikachu;Cherubi;Pikachu
Greninja;Chandelure;Greninja
Solosis;Roselia;Roselia
Caterpie;Togetic;Caterpie
Primal Kyogre;Mismagius;Mismagius
Mankey;Gastly;Gastly
Frost Rotom;Trubbish;Frost Rotom
Heatmor;Meditite;Heatmor
Cranidos;Azurill;Cranidos
Huntail;Shaymin Land Forme;Shaymin Land Forme
Tranquill;Rhyperior;Rhyperior
Ekans;Swanna;Swanna
Munchlax;Purugly;Munchlax
Zubat;Caterpie;Zubat
Plusle;Gyarados;Plusle
Skiploom;Mothim;Skiploom
Meganium;Medicham;Medicham
Gligar;Glameow;Glameow
Snubbull;Keldeo Ordinary Forme;Keldeo Ordinary Forme
Aurorus;Grumpig;Grumpig
Delcatty;Tyrogue;Delcatty
Camerupt;Kakuna;Camerupt
Accelgor;Gothitelle;Accelgor
Pawniard;Rhydon;Pawniard
Shaymin Land Forme;Roggenrola;Shaymin Land Forme
Bouffalant;Weedle;Bouffalant
Tynamo;Riolu;Riolu
Snorunt;Vivillon;Vivillon
Budew;Victini;Victini
Druddigon;Dustox;Dustox
Bonsly;Reshiram;Reshiram
Chimecho;Mantine;Mantine
Furfrou;Togetic;Furfrou
Ledian;Flareon;Flareon
Gothorita;Shaymin Land Forme;Shaymin Land Forme
Altaria;Rufflet;Altaria
Drapion;Metang;Metang
Tynamo;Hippopotas;Hippopotas
Feraligatr;Deoxys Speed Forme;Deoxys Speed Forme
Regigigas;Luxray;Regigigas
Kecleon;Charmander;Charmander
Sawk;Delcatty;Sawk
Dusknoir;Pachirisu;Pachirisu
Mega Medicham;Primal Kyogre;Mega Medicham
Pidgeotto;Bergmite;Pidgeotto
Beedrill;Litwick;Beedrill
Walrein;Alakazam;Alakazam
Bisharp;Pikachu;Pikachu
Lanturn;Tropius;Lanturn
Primal Kyogre;Regigigas;Regigigas
Frost Rotom;Silcoon;Frost Rotom
Raticate;Typhlosion;Typhlosion
Prinplup;Cacturne;Cacturne
Mega Banette;Absol;Absol
Weezing;Horsea;Horsea
Munna;Togetic;Togetic
Mega Camerupt;Slaking;Slaking
Lickitung;Foongus;Lickitung
Binacle;Kyurem White Kyurem;Kyurem White Kyurem
Quilladin;Woobat;Woobat
Rufflet;Scatterbug;Rufflet
Igglybuff;Arcanine;Arcanine
Bayleef;Bibarel;Bibarel
Lanturn;Thundurus Incarnate Forme;Thundurus Incarnate Forme
Bastiodon;Primal Kyogre;Primal Kyogre
Lampent;Gliscor;Gliscor
Garchomp;Scatterbug;Garchomp
Snover;Lickitung;Snover
Butterfree;Magcargo;Magcargo
Beldum;Cinccino;Cinccino
Krabby;Metapod;Krabby
Spinarak;Phantump;Phantump
Bronzor;Pancham;Pancham
Floatzel;Minun;Floatzel
Monferno;Alakazam;Alakazam
Gengar;Cryogonal;Gengar
Marowak;Heliolisk;Marowak
Houndoom;Grumpig;Houndoom
Charmander;Pansear;Charmander
Aron;Dialga;Dialga
Kadabra;Cascoon;Cascoon
Togekiss;Leafeon;Leafeon
Croconaw;Duosion;Croconaw
Milotic;Mega Mewtwo X;Mega Mewtwo X
Slurpuff;Deino;Slurpuff
Mega Swampert;Dustox;Mega Swampert
Cryogonal;Landorus Therian Forme;Cryogonal
Garbodor;Mega Mewtwo X;Mega Mewtwo X
Pelipper;Pansear;Pelipper
Watchog;Druddigon;Watchog
Whimsicott;Zangoose;Whimsicott
Igglybuff;Yamask;Yamask
Slowpoke;Panpour;Slowpoke
Linoone;Mega Lucario;Mega Lucario
Phione;Jolteon;Jolteon
Swanna;Frillish;Swanna
Parasect;Wobbuffet;Wobbuffet
Magnemite;Diancie;Diancie
Gastly;Chesnaught;Gastly
Shaymin Sky Forme;Mega Lucario;Shaymin Sky Forme
Growlithe;Pikachu;Pikachu
Gourgeist Super Size;Gogoat;Gogoat
Magikarp;Nidoking;Nidoking
Sudowoodo;Hawlucha;Hawlucha
Marshtomp;Vaporeon;Vaporeon
Reshiram;Shuppet;Reshiram
Yveltal;Gourgeist Average Size;Yveltal
Venusaur;Excadrill;Excadrill
Mega Manectric;Tangela;Mega Manectric
Hitmonchan;Machop;Hitmonchan
Garchomp;Nuzleaf;Garchomp
Granbull;Froakie;Froakie
Chinchou;Gyarados;Gyarados
Hypno;Shuppet;Hypno
Spinda;Sunflora;Spinda
Prinplup;Spewpa;Prinplup
Bisharp;Mega Ampharos;Bisharp
Hydreigon;Reshiram;Hydreigon
Xatu;Clauncher;Xatu
Stunfisk;Kingdra;Kingdra
Deoxys Normal Forme;Oshawott;Deoxys Normal Forme
Miltank;Porygon-Z;Miltank
Simipour;Grovyle;Simipour
Chinchou;Jirachi;Jirachi
Minccino;Raichu;Raichu
Porygon;Cacturne;Cacturne
Boldore;Omastar;Omastar
Oshawott;Tyrogue;Oshawott
Exeggcute;Kyurem;Kyurem
Quagsire;Bulbasaur;Bulbasaur
Ekans;Ferrothorn;Ekans
Darmanitan Standard Mode;Forretress;Darmanitan Standard Mode
Heatran;Floatzel;Floatzel
Swablu;Torterra;Swablu
Monferno;Sliggoo;Monferno
Spiritomb;Mega Aerodactyl;Mega Aerodactyl
Mega Aggron;Wurmple;Mega Aggron
Flabébé;Paras;Flabébé
Klang;Venusaur;Venusaur
Drifloon;Magnemite;Drifloon
Quilava;Loudred;Quilava
Growlithe;Hydreigon;Hydreigon
Exploud;Jigglypuff;Exploud
Aggron;Beautifly;Beautifly
Natu;Clamperl;Natu
Metagross;Feebas;Feebas
Marowak;Numel;Marowak
Lapras;Cottonee;Cottonee
Ekans;Raikou;Raikou
Lopunny;Spinarak;Lopunny
Throh;Frillish;Frillish
Cherubi;Kangaskhan;Kangaskhan
Phanpy;Tympole;Tympole
Togetic;Pidove;Pidove
Cryogonal;Mega Metagross;Mega Metagross
Sawsbuck;Flabébé;Sawsbuck
Umbreon;Mega Tyranitar;Mega Tyranitar
Bisharp;Dragonite;Dragonite
Ralts;Grimer;Ralts
Simisage;Galvantula;Galvantula
Dialga;Chimecho;Dialga
Corphish;Gothorita;Gothorita
Ninetales;Aegislash Shield Forme;Aegislash Shield Forme
Minccino;Doublade;Doublade
Pyroar;Omanyte;Pyroar
Tornadus Incarnate Forme;Azelf;Azelf
Cinccino;Bergmite;Cinccino
Simisear;Raticate;Simisear
Azelf;Whirlipede;Azelf
Wormadam Trash Cloak;Bergmite;Wormadam Trash Cloak
Swampert;Golem;Swampert
Doduo;Noibat;Doduo
Paras;Lickitung;Lickitung
Seel;Torchic;Torchic
Trevenant;Probopass;Trevenant
Slowking;Nosepass;Nosepass
Snubbull;Burmy;Burmy
Watchog;Mewtwo;Mewtwo
Tangela;Piplup;Tangela
Hitmontop;Keldeo Resolute Forme;Keldeo Resolute Forme
Kakuna;Gardevoir;Gardevoir
Cobalion;Slowking;Slowking
Nidoran♂;Tirtouga;Nidoran♂
Luxio;Kyogre;Kyogre
Loudred;Dragalge;Loudred
Anorith;Moltres;Moltres
Mienshao;Banette;Banette
Gardevoir;Pidgey;Gardevoir
Lucario;Keldeo Ordinary Forme;Keldeo Ordinary Forme
Ledyba;Surskit;Surskit
Torchic;Pyroar;Pyroar
Solosis;Mega Swampert;Mega Swampert
Emolga;Monferno;Emolga
Golem;Crustle;Crustle
Gothorita;Goodra;Goodra
Yveltal;Huntail;Yveltal
Dewgong;Sableye;Dewgong
Electrode;Pansage;Electrode
Dewott;Drilbur;Drilbur
Torterra;Mienfoo;Mienfoo
Spinarak;Kingdra;Kingdra
Mega Audino;Blissey;Blissey
Clefable;Haxorus;Clefable
Mega Blaziken;Marshtomp;Mega Blaziken
Landorus Therian Forme;Palkia;Palkia
Burmy;Floatzel;Floatzel
Tirtouga;Kyurem White Kyurem;Kyurem White Kyurem
Rhyhorn;Goomy;Goomy
Metapod;Landorus Therian Forme;Landorus Therian Forme
Bidoof;Dratini;Dratini
Frillish;Zangoose;Zangoose
Relicanth;Arcanine;Arcanine
Sandile;Mega Camerupt;Sandile
Infernape;Ambipom;Ambipom
Croagunk;Timburr;Croagunk
Torchic;Zoroark;Zoroark
Mega Steelix;Beldum;Beldum
Dodrio;Durant;Durant
Mesprit;Parasect;Mesprit
Mega Steelix;Luxray;Luxray
Piplup;Buneary;Buneary
Conkeldurr;Sigilyph;Sigilyph
Entei;Mow Rotom;Entei
Shellos;Treecko;Treecko
Haxorus;Finneon;Haxorus
Carvanha;Tepig;Carvanha
Ho-oh;Mega Charizard Y;Mega Charizard Y
Meganium;Cherubi;Meganium
Garchomp;Metapod;Garchomp
Articuno;Victini;Victini
Mienshao;Ralts;Mienshao
Milotic;Mega Altaria;Milotic
Empoleon;Chimchar;Chimchar
Tirtouga;Mega Lucario;Mega Lucario
Duskull;Gengar;Gengar
Paras;Mr. Mime;Paras
Scyther;Pignite;Scyther
Unown;Dewott;Dewott
Garchomp;Empoleon;Garchomp
Seviper;Zangoose;Zangoose
Skiploom;Lombre;Skiploom
Minun;Manectric;Manectric
Gogoat;Celebi;Celebi
Smoochum;Grimer;Grimer
Tyrunt;Shellos;Tyrunt
Munchlax;Venonat;Munchlax
Forretress;Karrablast;Karrablast
Talonflame;Vibrava;Talonflame
Budew;Cryogonal;Cryogonal
Ledian;Gyarados;Ledian
Helioptile;Celebi;Celebi
Gothita;Gyarados;Gyarados
Scraggy;Giratina Altered Forme;Giratina Altered Forme
Mega Sceptile;Bidoof;Mega Sceptile
Klefki;Aurorus;Klefki
Pelipper;Dwebble;Pelipper
Articuno;Pancham;Articuno
Cresselia;Stunfisk;Cresselia
Zekrom;Aerodactyl;Aerodactyl
Dodrio;Poliwhirl;Dodrio
Togetic;Espeon;Espeon
Bibarel;Vigoroth;Vigoroth
Qwilfish;Tentacool;Qwilfish
Tangrowth;Aromatisse;Tangrowth
Rhydon;Snubbull;Rhydon
Croconaw;Lairon;Croconaw
Murkrow;Klang;Murkrow
Hoopa Unbound;Lileep;Hoopa Unbound
Golem;Bayleef;Bayleef
Granbull;Clefairy;Granbull
Krookodile;Meowth;Krookodile
Leafeon;Wormadam Trash Cloak;Leafeon
Empoleon;Clauncher;Empoleon
Ninjask;Slowking;Ninjask
Krokorok;Probopass;Krokorok
Trapinch;Mudkip;Mudkip
Trevenant;Pansage;Pansage
Gourgeist Average Size;Nincada;Gourgeist Average Size
Grumpig;Exploud;Grumpig
Nidoran♀;Girafarig;Girafarig
Vanillite;Gorebyss;Gorebyss
Mega Gengar;Mega Gallade;Mega Gengar
Spritzee;Floette;Floette
Meowth;Probopass;Probopass
Mega Salamence;Rotom;Mega Salamence
Raticate;Paras;Raticate
Suicune;Mega Glalie;Mega Glalie
Moltres;Cherubi;Moltres
Scrafty;Latias;Latias
Gulpin;Azumarill;Azumarill
Zangoose;Hitmonlee;Zangoose
Jirachi;Binacle;Jirachi
Riolu;Gengar;Gengar
Pignite;Slakoth;Pignite
Pansear;Manaphy;Manaphy
Kyurem;Xatu;Xatu
Krabby;Quagsire;Krabby
Diglett;Staryu;Diglett
Stunky;Corphish;Stunky
Yamask;Doublade;Doublade
Gothitelle;Growlithe;Gothitelle
Tepig;Cubchoo;Tepig
Magby;Qwilfish;Qwilfish
Swellow;Fearow;Swellow
Altaria;Spiritomb;Altaria
Octillery;Ambipom;Ambipom
Combusken;Butterfree;Butterfree
Mega Gardevoir;Slowpoke;Mega Gardevoir
Sneasel;Unown;Sneasel
Geodude;Regirock;Regirock
Corphish;Piloswine;Piloswine
Sneasel;Entei;Sneasel
Snover;Linoone;Linoone
Pupitar;Duskull;Pupitar
Rotom;Marill;Rotom
Tympole;Electabuzz;Electabuzz
Zekrom;Honedge;Zekrom
Thundurus Therian Forme;Quagsire;Thundurus Therian Forme
Togetic;Magikarp;Togetic
Mega Gallade;Mega Slowbro;Mega Gallade
Qwilfish;Doublade;Qwilfish
Pawniard;Probopass;Pawniard
Celebi;Frillish;Celebi
Squirtle;Lotad;Squirtle
Kangaskhan;Piplup;Kangaskhan
Lairon;Pinsir;Pinsir
Zygarde Half Forme;Mega Steelix;Zygarde Half Forme
Mareep;Whismur;Mareep
Larvitar;Archeops;Archeops
Tympole;Ampharos;Tympole
Togekiss;Chatot;Chatot
Raikou;Charmander;Raikou
Sylveon;Surskit;Surskit
Regirock;Magnezone;Magnezone
Hawlucha;Kyurem White Kyurem;Hawlucha
Infernape;Golduck;Infernape
Starly;Talonflame;Talonflame
Pumpkaboo Super Size;  Grotle  ;Pumpkaboo Super Size
63;Lilligant;63
Blitzle;Wooper;Blitzle
Butterfree;Nosepass;Butterfree
Stunfisk;Oddish;Stunfisk
Vanilluxe;Thundurus Therian Forme;Thundurus Therian Forme
Sunflora;Mega Gengar;Mega Gengar
Durant;Mega Sceptile;Mega Sceptile
Lillipup;Simisear;Simisear
Gastrodon;Metang;Metang
Heracross;Mega Salamence;Mega Salamence
Swinub;Gabite;Gabite
Dragalge;Nidorina;Nidorina
Drifloon;Lotad;Drifloon
Cyndaquil;Mow Rotom;Mow Rotom
Gardevoir;Froakie;Gardevoir
Lunatone;Delibird;Delibird
Cofagrigus;Tornadus Incarnate Forme;Tornadus Incarnate Forme
Heliolisk;Reuniclus;Heliolisk
Samurott;Delcatty;Delcatty
Swalot;Furret;Furret
Cacturne;Mawile;Cacturne
Mega Kangaskhan;Omanyte;Mega Kangaskhan
Swampert;Fan Rotom;Fan Rotom
Mega Medicham;Shellos;Mega Medicham
Lanturn;Fraxure;Fraxure
Shuckle;Wash Rotom;Wash Rotom
Shelmet;Politoed;Politoed
Mega Lopunny;Mega Swampert;Mega Lopunny
Medicham;Spinarak;Medicham
Elgyem;Koffing;Koffing
Trapinch;Woobat;Trapinch
Mega Absol;Venomoth;Mega Absol
Drapion;Delibird;Drapion
Geodude;Cryogonal;Geodude
Corphish;Meditite;Meditite
Buneary;Corphish;Buneary
Beheeyem;Golem;Golem
Vibrava;Alakazam;Alakazam
Yamask;Gastly;Gastly
Mamoswine;Diglett;Diglett
Starly;Electrode;Electrode
Volcanion;Bulbasaur;Volcanion
Pidgeot;Meganium;Pidgeot
Sunflora;Bastiodon;Bastiodon
Gigalith;Spinarak;Spinarak
Fan Rotom;Venonat;Fan Rotom
Dusknoir;Pidgeot;Pidgeot
Masquerain;Shroomish;Masquerain
Krookodile;Petilil;Krookodile
Mew;Cloyster;Mew
Bisharp;Avalugg;Bisharp
Tornadus Incarnate Forme;Magby;Tornadus Incarnate Forme
Gible;Donphan;Donphan
Nuzleaf;Salamence;Salamence
Pawniard;Ho-oh;Ho-oh
Dratini;Caterpie;Dratini
Medicham;Herdier;Medicham
Regice;Talonflame;Talonflame
Pumpkaboo Large Size;Bunnelby;Bunnelby
Budew;Chinchou;Chinchou
Swadloon;Zapdos;Zapdos
Keldeo Ordinary Forme;Gastrodon;Keldeo Ordinary Forme
Mega Altaria;Sceptile;Sceptile
Tyrogue;Milotic;Milotic
Rhydon;Sandile;Sandile
Fletchinder;Cottonee;Fletchinder
Serperior;Pyroar;Serperior
Drifblim;Mega Sceptile;Mega Sceptile
Articuno;Mega Rayquaza;Mega Rayquaza
Clawitzer;Combee;Combee
Quilava;Greninja;Greninja
Ferroseed;Growlithe;Growlithe
Tepig;Mega Latios;Mega Latios
Gourgeist Average Size;Glalie;Gourgeist Average Size
Wailmer;Psyduck;Wailmer
Dewott;Pelipper;Pelipper
Trevenant;Escavalier;Trevenant
Gyarados;Charizard;Charizard
Pidgey;Seviper;Seviper
Swablu;Gourgeist Small Size;Gourgeist Small Size
Piloswine;Mega Rayquaza;Mega Rayquaza
Alakazam;Phione;Alakazam
Exeggcute;Axew;Axew
Lumineon;Plusle;Plusle
Kyurem;Mega Venusaur;Kyurem
Numel;Drilbur;Drilbur
Gastly;Wynaut;Gastly
Ledian;Mienshao;Mienshao
Mega Salamence;Tyrantrum;Mega Salamence
Arbok;Toxicroak;Toxicroak
Deoxys Defense Forme;Braviary;Deoxys Defense Forme
Mega Blaziken;Whismur;Mega Blaziken
Cinccino;Bagon;Cinccino
Scrafty;Skiddo;Scrafty
Primal Groudon;Rhydon;Primal Groudon
Litleo;Golurk;Golurk
Helioptile;Keldeo Ordinary Forme;Keldeo Ordinary Forme
Noivern;Bisharp;Noivern
Plusle;Phione;Plusle
Dwebble;Zubat;Zubat
Bronzong;Darmanitan Zen Mode;Darmanitan Zen Mode
Mega Blaziken;Munchlax;Mega Blaziken
Milotic;Walrein;Milotic
Lombre;Scatterbug;Lombre
Keldeo Ordinary Forme;Bisharp;Keldeo Ordinary Forme
Kadabra;Raichu;Raichu
Misdreavus;Raticate;Raticate
Misdreavus;Landorus Incarnate Forme;Landorus Incarnate Forme
Pansage;Togekiss;Togekiss
Monferno;Scrafty;Monferno
Trapinch;Delibird;Delibird
Shelmet;Seviper;Seviper
Zapdos;Reuniclus;Zapdos
Bastiodon;Throh;Throh
Krabby;Mienshao;Mienshao
Murkrow;Paras;Murkrow
Mega Blastoise;Zygarde Half Forme;Zygarde Half Forme
Kadabra;Gardevoir;Kadabra
Scizor;Darmanitan Zen Mode;Scizor
Eevee;Ho-oh;Ho-oh
Charmander;Jirachi;Jirachi
Relicanth;Talonflame;Relicanth
Cobalion;Relicanth;Cobalion
Xatu;Qwilfish;Xatu
Elekid;Magby;Elekid
Koffing;Zoroark;Zoroark
Totodile;Tyranitar;Tyranitar
Floette;Shinx;Floette
Skitty;Barboach;Barboach
Shuppet;Squirtle;Shuppet
Porygon2;Garchomp;Garchomp
Rayquaza;Trubbish;Rayquaza
Gigalith;Tauros;Gigalith
Klang;Slowking;Klang
Electrode;Snubbull;Electrode
Marill;Gourgeist Large Size;Gourgeist Large Size
Unfezant;Latias;Latias
Porygon-Z;Voltorb;Voltorb
Sunkern;Dunsparce;Dunsparce
Raikou;Poliwrath;Raikou
Spoink;Delcatty;Delcatty
Meowstic Male;Duskull;Meowstic Male
Mewtwo;Gourgeist Average Size;Mewtwo
Mareep;Binacle;Binacle
Mew;Fennekin;Mew
Pidgeotto;Minun;Minun
Mega Aggron;Lotad;Mega Aggron
Azumarill;Pidgeot;Pidgeot
Pupitar;Aipom;Aipom
Mega Gallade;Castform;Mega Gallade
Deino;Bunnelby;Bunnelby
Avalugg;Palkia;Palkia
Mega Gardevoir;Hippowdon;Mega Gardevoir
Kricketot;Forretress;Forretress
Groudon;Ferrothorn;Ferrothorn
Bibarel;Regigigas;Regigigas
Chandelure;Treecko;Chandelure
Stantler;Mesprit;Stantler
Vanillite;Flareon;Flareon
Panpour;Rampardos;Panpour
Wingull;Gothorita;Wingull
Rotom;Zebstrika;Zebstrika
Entei;Noibat;Entei
Piloswine;Mothim;Mothim
Machamp;Cubone;Machamp
Mr. Mime;Landorus Therian Forme;Landorus Therian Forme
Lampent;Bunnelby;Bunnelby
Torchic;Nidoran♀;Torchic
Mega Gengar;Spheal;Mega Gengar
Nidoking;Dedenne;Dedenne
Liepard;Pangoro;Liepard
Skitty;Deoxys Normal Forme;Deoxys Normal Forme
Giratina Altered Forme;Pangoro;Giratina Altered Forme
Clefairy;Archen;Archen
Venonat;Spheal;Venonat
Nidoran♂;Yanma;Yanma
Deoxys Normal Forme;Mega Diancie;Deoxys Normal Forme
Gloom;Accelgor;Accelgor
Swoobat;Mareep;Swoobat
Sceptile;Florges;Sceptile
Mega Pinsir;Chimchar;Mega Pinsir
Delibird;Pansage;Delibird
Serperior;Carvanha;Serperior
Genesect;Volcarona;Volcarona
Electrode;Sawsbuck;Electrode
Kangaskhan;Voltorb;Voltorb
Bidoof;Swadloon;Swadloon
Minun;Castform;Minun
Mime Jr.;Dewgong;Dewgong
Amoonguss;Steelix;Steelix
Gothorita;Galvantula;Galvantula
Omanyte;Dewott;Dewott
Heliolisk;Magnemite;Heliolisk
Throh;Swellow;Throh
Binacle;Mega Aggron;Mega Aggron
Slaking;Beartic;Slaking
Leafeon;Lunatone;Leafeon
Braviary;Kingdra;Kingdra
Steelix;Latias;Latias
Tyrunt;Clefairy;Tyrunt
Mega Banette;Dugtrio;Dugtrio
Vanilluxe;Staraptor;Staraptor
Tyrogue;Delcatty;Delcatty
Shellos;Exeggcute;Exeggcute
Raticate;Ampharos;Raticate
Primal Kyogre;Dusclops;Primal Kyogre
Kecleon;Koffing;Kecleon
Petilil;Steelix;Steelix
Cherrim;Mismagius;Mismagius
Poochyena;Smeargle;Smeargle
Amaura;Roserade;Roserade
Zekrom;Shinx;Zekrom
Purrloin;Herdier;Purrloin
Linoone;Dewott;Linoone
Registeel;Gothita;Registeel
Budew;Mega Sharpedo;Mega Sharpedo
Mega Scizor;Keldeo Resolute Forme;Keldeo Resolute Forme
Beheeyem;Diglett;Beheeyem
Liepard;Shiftry;Liepard
Crobat;Cresselia;Crobat
Miltank;Chikorita;Miltank
Lapras;Ducklett;Lapras
Lickitung;Murkrow;Murkrow
Deoxys Speed Forme;Mega Slowbro;Deoxys Speed Forme
Vivillon;Hawlucha;Hawlucha
Lilligant;Tirtouga;Lilligant
Mega Swampert;Swellow;Swellow
Zorua;Chingling;Zorua
Zekrom;Piloswine;Piloswine
Chandelure;Mesprit;Mesprit
Porygon-Z;Haunter;Haunter
Liepard;Diancie;Liepard
Krookodile;Croagunk;Krookodile
Regice;Shellos;Regice
Munna;Honedge;Honedge
Trubbish;Diggersby;Diggersby
Pachirisu;Registeel;Pachirisu
Electabuzz;Pumpkaboo Large Size;Electabuzz
Accelgor;Seedot;Accelgor
Frogadier;Shelgon;Frogadier
Spinarak;Cubchoo;Cubchoo
Mega Gengar;Ludicolo;Mega Gengar
Leavanny;Sawsbuck;Sawsbuck
Unown;Pansear;Pansear
Mandibuzz;Unown;Mandibuzz
Octillery;Haunter;Haunter
Natu;Ludicolo;Ludicolo
Durant;Remoraid;Durant
Heracross;Braviary;Heracross
Cubone;Cherubi;Cherubi
Throh;Noivern;Noivern
Kabutops;Rhyperior;Kabutops
Rhyhorn;Landorus Therian Forme;Landorus Therian Forme
Skuntank;Pidgeot;Pidgeot
Snorunt;Litwick;Snorunt
Mega Houndoom;Doduo;Mega Houndoom
Whimsicott;Sentret;Whimsicott
Snubbull;Kingler;Kingler
Combusken;Drapion;Drapion
Persian;Dewgong;Persian
Gigalith;Mandibuzz;Mandibuzz
Dragalge;Meowth;Meowth
Burmy;Tympole;Tympole
Fletchling;Kricketune;Kricketune
Sewaddle;Genesect;Genesect
Fletchinder;Mega Sharpedo;Mega Sharpedo
Sawsbuck;Linoone;Linoone
Gible;Poliwhirl;Poliwhirl
Kingdra;Buneary;Buneary
Honedge;Gabite;Gabite
Cobalion;Gurdurr;Cobalion
Durant;Sceptile;Sceptile
Ho-oh;Tynamo;Ho-oh
Azurill;Chatot;Chatot
Mega Ampharos;Mew;Mew
Sawsbuck;Skiddo;Sawsbuck
Mega Ampharos;Charmeleon;Charmeleon
Machop;Zorua;Zorua
Swablu;Muk;Muk
Tirtouga;Mega Glalie;Mega Glalie
Joltik;Empoleon;Joltik
Diancie;Sawsbuck;Sawsbuck
Cherrim;Magmar;Magmar
Elekid;Clamperl;Elekid
Talonflame;Butterfree;Talonflame
Clefable;Reshiram;Clefable
Venipede;Herdier;Herdier
Cubone;Hoopa Unbound;Hoopa Unbound
Sharpedo;Zapdos;Zapdos
Scraggy;Dragalge;Scraggy
Bastiodon;Krabby;Krabby
Basculin;Swirlix;Basculin
Kirlia;Cyndaquil;Cyndaquil
Mega Blaziken;Electrike;Mega Blaziken
Mega Sableye;Froslass;Froslass
Spinarak;Escavalier;Escavalier
Haxorus;Charmander;Haxorus
Krokorok;Slurpuff;Krokorok
Binacle;Kingdra;Kingdra
Cubchoo;Happiny;Cubchoo
Torterra;Carracosta;Torterra
Fraxure;Krabby;Fraxure
Illumise;Woobat;Illumise
Steelix;Wynaut;Steelix
Manaphy;Solrock;Manaphy
Darumaka;Scrafty;Scrafty
Swadloon;Porygon-Z;Porygon-Z
Chikorita;Mega Steelix;Chikorita
Linoone;Cradily;Linoone
Dusknoir;Omanyte;Dusknoir
Zygarde Half Forme;Gabite;Zygarde Half Forme
Magnemite;Braviary;Braviary
Delphox;Hoppip;Delphox
Cacnea;Kricketot;Cacnea
Braviary;Mega Aggron;Braviary
Swalot;Swinub;Swalot
Skuntank;Aurorus;Skuntank
Mew;Bastiodon;Mew
Buizel;Mega Mewtwo Y;Mega Mewtwo Y
Archeops;Phantump;Archeops
Lileep;Feraligatr;Feraligatr
Clefable;Shelmet;Clefable
Scizor;Zapdos;Zapdos
Marshtomp;Glameow;Glameow
Audino;Cradily;Audino
  Farfetch'd  ;Dialga;Dialga
Espeon;Chimchar;Espeon
Sneasel;Ledyba;Sneasel
Tympole;Magby;Magby
Dragalge;Sentret;Dragalge
Houndour;Carracosta;Carracosta
Manaphy;Gallade;Manaphy
Thundurus Therian Forme;Vaporeon;Thundurus Therian Forme
Fletchinder;Skuntank;Skuntank
Politoed;Spritzee;Politoed
Nidorina;Hypno;Hypno
Nidoqueen;Kricketune;Nidoqueen
Regigigas;Mow Rotom;Regigigas
Stantler;Parasect;Stantler
Shelgon;Zubat;Zubat
Piplup;Snivy;Snivy
Tranquill;Mega Gallade;Mega Gallade
Karrablast;Mega Steelix;Karrablast
Swanna;Magnezone;Swanna
Gorebyss;Hitmontop;Hitmontop
Regirock;Pupitar;Pupitar
Armaldo;Bibarel;Bibarel
Cyndaquil;Cubone;Cyndaquil
Cofagrigus;Lillipup;Lillipup
Glalie;Ho-oh;Ho-oh
Poliwhirl;Monferno;Poliwhirl
Cryogonal;Combusken;Combusken
Teddiursa;Mega Medicham;Mega Medicham
Rhydon;Combusken;Combusken
Minun;Ambipom;Ambipom
Delibird;Cofagrigus;Delibird
Nosepass;Vullaby;Vullaby
Goomy;Onix;Onix
Sudowoodo;Yveltal;Yveltal
Onix;Mega Garchomp;Mega Garchomp
Mightyena;Nosepass;Mightyena
Cherubi;Masquerain;Masquerain
Mega Heracross;Cobalion;Cobalion
Sableye;Zangoose;Zangoose
Mime Jr.;Zubat;Mime Jr.
Bronzong;Lillipup;Lillipup
Mega Diancie;Mega Kangaskhan;Mega Diancie
Excadrill;Manectric;Manectric
Golduck;Tangrowth;Golduck
Wormadam Sandy Cloak;Charizard;Charizard
Gothita;Deino;Deino
Dragonair;Blaziken;Blaziken
Krokorok;Regice;Krokorok
Seel;Manectric;Manectric
Riolu;Gardevoir;Gardevoir
Vanilluxe;Magcargo;Vanilluxe
Xatu;Glalie;Xatu
Shroomish;Venusaur;Venusaur
Heatran;Leavanny;Leavanny
Boldore;Simisage;Simisage
Throh;Tornadus Incarnate Forme;Tornadus Incarnate Forme
DeoxysAttack Forme;Zoroark;Zoroark
Ferroseed;Budew;Ferroseed
Heatmor;Shelgon;Heatmor
Gliscor;Archen;Gliscor
Roselia;Bastiodon;Bastiodon
Lanturn;Cherubi;Lanturn
Gourgeist Large Size;Mega Sharpedo;Mega Sharpedo
63;Swinub;63
Oddish;Celebi;Celebi
Eelektrik;Empoleon;Empoleon
Regice;Walrein;Walrein
Conkeldurr;Pancham;Conkeldurr
Absol;Cradily;Absol
Luxray;Gourgeist Large Size;Luxray
Golurk;Taillow;Taillow
Anorith;Fennekin;Anorith
Cyndaquil;Mega Lopunny;Mega Lopunny
Axew;Pidove;Axew
Elekid;Mega Metagross;Mega Metagross
Palpitoad;Chatot;Chatot
Aggron;Vivillon;Aggron
Muk;Pyroar;Pyroar
Leafeon;Munchlax;Leafeon
Palkia;Mega Aggron;Palkia
Bayleef;Flareon;Flareon
